title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Is This It,rock,The Strokes,2001,205960,{},"[Verse 1]
Can't you see I'm trying? I don't even like it
I just lied to get to your apartment
Now I'm staying there just for a while
I can't think 'cause I'm just way too tired

[Chorus]
Is this it?
Is this it?
Is this it?

[Verse 2]
Said they'd give you anything you ever wanted
When they lied, I knew it was just stable
Children trying hard not to realize
I was sitting right behind you

[Bridge]
Dear, can't you see? It's them, it's not me
We're not enemies, we just disagree
If I was like him, all pissed in this bar
He changes his mind, says I went too far
We all disagree, I think we should disagree, yeah
[Chorus]
Is this it?
Is this it?
Is this it?

[Outro]
Can't you see I'm trying? I don't even like it
I just lied to get to your apartment
Now I'm staying there just for a while
I can't think 'cause I'm just way too tired",86671,en,en,en
I Cant Win,rock,The Strokes,2003,43418,{},"[Verse 1]
That was you up on the mountain
All alone and all surrounded
Walking on the ground you're breaking
Laughing at the life you're wasting
One, two tries won't do it
You do it all your life and you never get through it
Everything they had to say
Had been erased in just one day

[Chorus 1]
""Good try, we don't like it""
""Good try, we won't take that shit""
Oh, I can't win

[Verse 2]
Things in bars that people do
When no one wants to talk to you
Failing can be quite a breeze
He told me that these girls were easy
Happy that you said you'd mount me
Felt unlucky when you found me
Some nights come up empty handed
Yes, I'll take it
[Chorus 2]
Wait now, by the sidewalk
Hold on, yes, I'll be right back
Oh, I can't win

[Instrumental break]

[Chorus 3]
Yeah, I wait for something
""Cool it, we won't take that shit""
""Good try, we don't like it""
Hold on, yes, I'll be right back",103152,en,en,en
The Modern Age,rock,The Strokes,2001,204101,{},"[Verse 1]
Up on a hill, here's where we begin
This little story, a long time ago
Start to pretend, stop pretending
It seems this game is simply never-ending

[Pre-Chorus]
Oh, in the sun, sun, having fun, it's in my blood
I just can't help it
Don't want you here right now, let me go
Oh, let me g-g-g-g-g-g-g-go

[Chorus]
Leaving just in time, stay there for a while
Rolling in the ocean, trying to catch her eye
Work hard and say it's easy, do it just to please me
Tomorrow will be different, so I'll pretend I'm leaving

[Instrumental Bridge]

[Verse 2]
I feel so different now, we trained at A-V-A
I wish you hadn't stayed, my vision's clearer now but I'm unafraid
Flying overseas, no time to feel the breeze
I took too many varieties
[Pre-Chorus]
Oh, in the sun, sun, having fun, it's in my blood
I just can't help it
Don't want you here right now, let me go, woo!
Darling, let me g-g-g-g-g-g-g-go

[Chorus]
Leaving just in time, stay there for a while
Rolling in the ocean, trying to catch her eye
Work hard and say it's easy, do it just to please me
Tomorrow will be different, so this is why I'm leaving",101814,en,en,en
The End Has No End,rock,The Strokes,2004,57323,{},"[Verse 1]
One by one, ticking time bombs won
It's not the secrets of the government that's keeping you dumb
Oh, it's the other way around — wait, what's that sound?
One by one, baby, here they come
He wants it easy, he want it relaxed
Said I can do a lot of things, but I can't do that
Two steps forward then three steps back, alright

[Pre-Chorus]
""Won't you take a walk outside?"" Oh no
""Can't you find some other guy?"" Oh no
""One-nine-six-nine, what's that sound?"" Oh no
Keeping down the underground, oh, no

[Chorus]
The end has no end, the end has no end
The end has no end, the end has no end

[Verse 2]
He want it easy, he want it relaxed
Said I can do a lot of things, but I can't do that
Two steps forward then three steps back
It won't be easy
[Pre-Chorus]
""Won't you take a walk outside?"" Oh no
""Can't you find another guy?"" Oh no
""One-nine-six-three, what's that sound?"" Oh no
Keeping down the underground, oh no

[Chorus]
The end has no end, the end has no end
The end has no end, the end has no end
The end has no end, the end has no end
The end has no end, the end has no end",103140,en,en,en
Last Nite,rock,The Strokes,2001,215256,{},"[Verse 1]
Last night, she said
""Oh, baby, I feel so down
Oh, it turns me off
When I feel left out""
So I, I turned 'round
Oh, baby, don't care no more
I know this for sure
I'm walking out that door

[Bridge]
Well, I've been in town for just 'bout fifteen, oh, minutes now
And baby, I feel so down
And I don't know why
I keep walking for miles

[Chorus 1]
And say, people, they don't understand
No, girlfriends, they can't understand
Your grandsons, they won't understand
On top of this, I ain't ever gonna understand
[Verse 2]
Last night, she said
""Oh, baby, don't feel so down
Oh, it turns me off
When I feel left out""
So I, I turned 'round
Oh, baby, gonna be alright
It was a great big lie
'Cause I left that night, yeah

[Instrumental Bridge]

[Chorus 2]
Oh, people, they don't understand
No, girlfriends, they don't understand
In spaceships, they won't understand
And me, I ain't ever gonna understand

[Verse 1]
Last night, she said
""Oh, baby, I feel so down
See, it turns me off
When I feel left out""
So I, I turned 'round
Oh, little girl, I don't care no more
I know this for sure
I'm walking out that door, yeah",103207,en,en,en
Evening Sun,rock,The Strokes,2006,27064,{},"[Verse 1]
They love you or they hate you, but they will never let you be
They'll thrill you or sedate you, but they will never let you see

[Chorus]
In the evening sun
Amber evening sun

[Verse 2]
Encourage and derange you, watch you walking scared alone
Despite intimidation, pleased to watch you dance alone

[Chorus]
In the evening sun
Amber evening sun

[Bridge]
Go your separate way now
Someday you'll come back
And I'll be dreaming I was sunburned
I don't wanna break your heart in
Break your heart in two halves
Keep one half and give one half to me
I like the summer, miss the summer
Tell me, what'd you do? Nothing? Me, too
[Verse 3]
All actors they're pretending and singers they will sometimes lie
Kids are always honest 'cause they don't think they're ever gonna die
Oh, you're the prettiest, smartest captain of the team
I love you more than being seventeen

[Chorus]
In the evening sun
Amber evening sun
In the evening sun",103209,en,en,en
Gratisfaction,rock,The Strokes,2011,29937,{},"[Verse 1]
Oh b-baby, don't you be so mad because I barely remember
And she tries to recognize me with the eyes
She saw me with in December
And she's starting to realize that it's actually not a good thing
And it's so tough because you're down to go out again and have another adventure
All her friends in the alleyway shout back but she can't hear them

[Chorus 1]
But you're never gonna get my love
We can only play in the sun
Get up in the morning and run
You'll be frustrated 'til the day that you're done

[Verse 2]
He got punched in the mouth for sticking
His nose in other people's business
No good solution, always on the verge of some revolution
Well tough luck, it may take a thousand years
But I think we can do it
Best friends fight but they never enjoy life
As good as when they abuse it
He said the soldier is a necessity in light of all the failures of man
[Chorus 2]
But you're never gonna get their love
We can only fight in the sand
You get tired when the days are too long
You get lonely when the days are gone

He could never mention it out here and now
Without quick tears in his eyes

[Chorus 3]
But you're never gonna get my love
We can only play in the sun
You get tired when the days are too long
You get lonely when the days are gone

[Chorus 4]
Oh you're never gonna get this love
We can roll around in the dark
That's about as far as we go
Get up in the morning and run",103391,en,en,en
Barely Legal,rock,The Strokes,2001,223380,{},"[Verse 1]
I didn't take no shortcuts
I spent the money that I saved up
Oh, mama running out of luck
But like my sister, don't give a fuck
I wanna steal your innocence
To me, my life, it don't make any sense
These strange manners, I love 'em so
Why won't you wear your new trenchcoat?

[Verse 2]
I should have worked much harder
I should have just not bothered
I never show up on weekdays
And something that you learned yesterday
Drive you to work and you'll be on time
These little problems, they're not yours, they're mine
Come on, listen to what I say
I've got some secrets that'll make you stay

[Pre-Chorus 1]
I just want to turn you down
I just want to turn you around
Oh, you ain't never had nothing I wanted, but
I want it all, I just can't figure out
Nothing
[Chorus]
And all together, it went well
We made pretend, we were best friends
Then she said, ""Oh, you're a freak""
They ordered me to make mistakes
Together again, like the beginning
It all works somehow in the end
The things we did, the things you hide
But for the record, it's between you and I

[Verse 3]
Oh, I didn't take no shortcuts
I spent the money that I saved up
Oh, mama running out of luck
And like my sister, don't give a fuck
I wanna steal your innocence
To me, my life, it just don't make any sense
Oh, strange manners, I love 'em so
Why won't you wear your new trenchcoat?

[Pre-Chorus 2]
I just want to misbehave
I just want to be your slave
Oh, you ain't never had nothing I wanted, but
I want it all, I just can't figure out
Nothing
[Chorus]
And all together, it went well
We made pretend, we were best friends
Then she said, ""Oh, I can wait""
They ordered me to make mistakes
Together again, like the beginning
It all works somehow in the end
The things we did, the things you hide
But for the record, it's between you and I",105116,en,en,en
One Way Trigger,rock,The Strokes,2013,97677,{},"One, two, three

[Verse 1]
Get dressed in your bed
While she's asleep
It isn’t right
But it isn’t hard
Tell me, tell me, won’t you understand
Show me, show me, show me a better plan
It’s summer lies
It's someone else's nothing
Here it comes now

[Pre-Chorus]
You asked me to stay
You asked me to stay
You asked me to stay
But there’s a million reasons to leave

[Chorus]
Find a job
Find a friend
Find a home
Find a dog
Settle down
Out of town
Find a dream
Shut it down
[Verse 2]
Please, please don’t point it that way
It’s just a trigger that goes once and you’ll be unafraid
I wish that I'd been noticed but it never goes that way
The silence that you brought has gone, gone, gone
Tell me, tell me, won’t you understand?
Show me, show me, show me

[Pre-Chorus]
You asked me to stay
You asked me to stay
You asked me to stay
But there’s a million reasons to leave

[Bridge]
Show me what to say
Show me what to be
Show me what to see
Show me what to be

[Chorus]
Find a job
Find a friend
Find a home
Find a dog
Settle down
Out of town
Find a dream
Shut it down
[Outro]
I don’t wanna be in there with you
I don't wanna be in there without your loving either
I waited for your thoughts
Can't wait no longer",112064,en,en,en
Life Is Simple in the Moonlight,rock,The Strokes,2011,94572,{},"Animals on TV singing about some pain that they once felt
There's no one I disapprove of more or root for more than myself
I wanted to pretend that it was better, better, better on the phone
I didn't wanna tell you I was jealous, jealous, jealous and alone

So we talk about ourselves in hell
To forget the love we never felt
All the old jokes that work so well
Universal truth was a moment's lie

Don't try to stop us
Don't try to stop us
Don't try to stop us
Get out of the way

Got to get to climb your tree in the light of the living ghost I see
She sees her father in that old man's eyes while secretly he stares at her thighs
Animals on TV singing about some pain they felt at some point
I didn't wanna tell you I was jealous, jealous, jealous, what's the point?

As I watch the velvet drapes appear
And the door was closed for forty years
As we hide what we don't wanna hear
As we hide what's really in our ears
He is coming from a part of hell
Where lightning blue eyes don't go down well
He can tell that we're oblivious
It's addiction of routine as well
Making fools out of the best of us
Making robots of the rest of us
Innocence itself in America today
Is a crime just like Cornel West might say

Don't try to stop us
Don't try to stop us
Don't try to stop us
Get out of the way",113456,en,en,en
